tax	50w_0	50w_1	50w_2	50w_3	90w_0	90w_1	90w_2	90w_3	120w_0	120w_1	120w_2	120w_3
Roseiflexaceae	0.000427849	0.001787774	0	0.000116932	0	0	0	0.002042239	0	0.003653368	0	0.004983774
Rubritaleaceae	0.000356786	0.004036909	0.002374863	0.00049613	7.81E-05	0.002653302	0	0.001494322	0.00018457	0.001903726	0	0.001095462
Ruminococcaceae	0	0.00379979	0	0.000231527	0	0	0.000687957	0	0	0	0.005184507	0.003565947
Saccharimonadaceae	0.001344353	0.004542351	0.002221146	0.002806211	0	0	0.002063871	0.002490536	0.000682725	0	0.000914913	0.004819711
Saprospiraceae	0	0.000923873	0.002095337	0.001286174	0	0.009224164	0.002981007	0.000985777	0	0.006388674	0.008936779	0.002351216
Solimonadaceae	0.00016675	0.001254622	0.000587741	0	0	0.000329544	0	0.000844951	0	0	0.002469136	0
Solirubrobacteraceae	0.000480156	0.002302905	0.001553317	0.001286174	0.000991293	0.003565468	0.000805153	0.000711045	0.001721058	0.000582281	0.004729747	0.001584305
Sphingobacteriaceae	0.004303178	0.004642737	0.002409948	0.009430934	0.011613827	0.007662835	0.01230335	0.001396215	0.008019574	0	0.008626793	0.00787824
Sphingomonadaceae	0.054491665	0.022297295	0.031640075	0.048272916	0.040574451	0.035719935	0.033168904	0.041620401	0.034620343	0.026624855	0.024476541	0.022746345
Spirosomaceae	0.009179003	0.003440829	0.011889588	0.002333709	0.007184841	0.008247188	0.003602876	0.005935108	0.003105166	0.006590709	0.004702859	0.011221799
Sporichthyaceae	0	0.013562284	0.022265574	0.015457845	0	0.014710752	0.025316106	0.011875441	0	0.025699111	0.030912758	0.017159558
Sporolactobacillaceae	0.000416875	0.001723209	0	0.004935781	0	0	0	0.00030705	0.003959622	0.0025	0.013642089	0.002290606
Staphylococcaceae	0.002958879	0.006474092	0.017864476	0.005903309	0.004724014	0	0.006942931	0.011566655	0.002295392	0.000668896	0.003975823	0.005141864
Streptococcaceae	0.016019991	0.007539754	0.006857169	0.008962264	0	0.011549916	0.015059531	0.002573655	0.00166113	0	0.001764218	0.003364632
Streptomycetaceae	0.022534308	0.01840683	0.0353621	0.015876426	0.014576503	0.011174655	0.01764895	0.007693997	0.03998203	0.003434166	0.013124464	0.015082606
Streptosporangiaceae	0.000208438	0.005935937	0.003716061	0.002906599	0.000115676	0	0.003607504	0	0.000251247	0	0.001423198	0.002695887
Terrimicrobiaceae	0	0.001231831	0.004052154	0	0	0.006057501	0	0.003636183	0	0.013659002	0.005703105	0.005438852
Thermoactinomycetaceae	0	0.000739098	0.001583242	0.000363829	0.000104053	0	0.001419269	0	0	0	0.000762428	0.000679264
Thermomonosporaceae	0.001333251	0	0.00939808	0.002272068	0.000410568	0.002655136	0.011522954	0.011225498	0.000933903	0	0.008016785	0.002764753
Verrucomicrobiaceae	0.000350058	0.003037507	0	0.001869007	0.000260132	0.005945661	0	0.00073928	0.000276625	0.002821822	0.002827199	0.002660407
WD2101_soil_group	0	0	0	0.000253352	0.000123732	0.001555151	0.00370267	0	0	0.002284332	0.001499118	0
Weeksellaceae	0.012041926	0.001786154	0.00176201	0.00092611	0.004186166	0.008493277	0.020249885	0.002763449	0.005678323	0.001842856	0.000988675	0.005933851
Xanthobacteraceae	0.001828277	0.010294813	0.011486851	0.003229835	0.000863992	0.00882129	0.002369843	0.00100303	0.006268762	0.006063954	0.011561231	0.006612629
Xanthomonadaceae	0.025150486	0.007031005	0.002440725	0.002649524	0.010389738	0.037528114	0.019558954	0.009153001	0.010761388	0.008364425	0.003889268	0.000768608
Yersiniaceae	0.024824965	0.02022656	0.003720557	0	0.018324263	0.006284333	0.008860759	0.037745707	0.0073531	0.002338156	0.001728169	0.090838383
